personIdB,nameStringB,dateBirthB,dateDeathB,dateFlB
epist11624,Pierre Gassendi,1592,1655,0
epist11633,Pierre Séguier,1588,1672,0
epist11637,Pieter Christiaensz. Bor,1559,1635,0
epist11639,Pieter Cloeck,1589,1667,0
epist11642,Pieter de Groot,1615,1678,0
epist11673,R. Neuhusius,0,0,1639
epist11675,Ralph Winwood,1563,1617,0
epist11691,Reinoud van Brederode,1567,1633,0
epist11700,Ridderschap in de Elzas,0,0,0
epist11711,Robert Oudart,1581,0,0
epist11726,Rombout Hogerbeets,1561,1625,0
epist11734,Rutgerus zum Bergen,1603,1661,0
epist11743,Samson Johnson,1603,1661,0
epist11749,Samuel Petit,1594,1643,0
epist11770,Simon Episcopius,1583,1643,0
epist11771,Simon Groenewegen van der Made,1613,1652,0
epist11772,Simon van Beaumont,1574,1654,0
epist11774,Sixtinus Amama,1593,1629,0
epist11788,Staten van Zeeland,0,0,0
epist11790,Stephanus Joannes Stephanius,1599,1650,0
epist11825,Thomas Lansius,1577,1657,0
epist11828,Thomas van Erpe,1584,1624,0
epist11833,Tobias Andreae,1604,1676,0
epist11834,Tobias de Coene,0,1618,0
epist11837,Trajano Guiscardi,0,1639,0
epist11841,Urbanus VIII,1568,1644,0
epist11869,Vopiscus Fortunatus Plempius,1601,1671,0
epist11880,Wijnand Schuyl,1598,0,0
epist11882,Wilhelm Schickard,1592,1635,0
epist11914,Willem van Oldenbarnevelt,1590,1639,0
epist11926,William Laud,1573,1645,0
